nome_job,data_dia,data_hora,mes
ZSD_ENVIA_EMAIL_CDA_D1,2025-04-07,01:00:08,Abril
ZSD_FAROL_RETORNO_NOTAS,2025-04-07,05:55:07,Abril
ZSD_INTERF_DEV_BIS_H,2025-04-07,03:00:09,Abril
EXT655144617301114042025061,2025-04-14,07:07:05,Abril
ZFIR_REL_CB_BANCOS_90,2025-04-14,11:00:04,Abril
ZMM_CORRIGE_NOTAS_FOPAG_MES,2025-04-14,20:00:03,Abril
ZMMR_CALCULA_ZMBEW,2025-04-14,08:55:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-14,10:30:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-14,15:05:01,Abril
ZMMR_CALCULA_ZMBEW,2025-04-14,22:30:00,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-14,07:33:54,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-14,08:02:34,Abril
ZMMR_GERA_TABELA_COM_SKBR,2025-04-14,03:00:01,Abril
ZMMR_LISTA_DOC_PRORROGADOS_DDE,2025-04-14,08:00:00,Abril
ZMMR_NOTAS_XML,2025-04-14,04:20:33,Abril
ZSD_CARGA_BIS_MIDIA,2025-04-14,05:00:00,Abril
ZSD_CARGA_FAT_MIDIA,2025-04-14,05:21:29,Abril
ZSD_DEVOLUCAO_CAP,2025-04-14,05:17:16,Abril
ZSD_ENVIA_EMAIL_CDA_D1,2025-04-14,01:00:00,Abril
